Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
robot_base,-0.00445867504272959,0.0188596582001737,-0.0409170414895302,0,0,0,16.8716303622031,0.129093700861499,1.96405764644591E-17,1.6784440571546E-18,0.407112985368653,3.94346039118866E-18,0.494014292102768,0,0,0,0,0,0,package://project2/meshes/robot_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/robot_base.STL,,Project 2 model 2 body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_wheel_left,-2.77555756156289E-17,5.55111512312578E-17,0.0426611529567505,0,0,0,0.65704188155931,0.00220253962614407,-1.44334414212133E-18,-3.87340877149962E-19,0.00220253962614408,-4.49359142360589E-19,0.00375659739665088,0,0,0,0,0,0,package://project2/meshes/front_wheel_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/front_wheel_left.STL,,Part6-1,Origin_front_wheel_joint_left2,Axis_front_wheel_joint_left2,front_wheel_joint_left,continuous,0.19874,0.14586,-0.039948,-1.5708,-0.031821,0,robot_base,0,0,1,,,,,,,,,,,,
front_wheel_right,-1.38777878078145E-17,2.77555756156289E-17,0.0426611529567505,0,0,0,0.65704188155931,0.00220253962614408,-7.04731412115578E-19,-1.8918058268492E-19,0.00220253962614408,6.06473269987636E-20,0.00375659739665089,0,0,0,0,0,0,package://project2/meshes/front_wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/front_wheel_right.STL,,Part6-2,Origin_front_wheel_joint_right2,Axis_front_wheel_joint_right2,front_wheel_joint_right,continuous,0.19874,-0.10814,-0.039948,1.5708,1.2051,0,robot_base,0,0,1,,,,,,,,,,,,
back_wheel_left,-5.55111512312578E-17,4.16333634234434E-17,0.0426611529567505,0,0,0,0.65704188155931,0.00220253962614408,-8.13151629364128E-19,-6.30645659214809E-19,0.00220253962614408,4.3643535614371E-20,0.00375659739665089,0,0,0,0,0,0,package://project2/meshes/back_wheel_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/back_wheel_left.STL,,Part6-4,Origin_back_wheel_joint_left2,Axis_back_wheel_joint_left2,back_wheel_joint_left,continuous,-0.20766,0.14586,-0.039948,-1.5708,-0.39275,0,robot_base,0,0,1,,,,,,,,,,,,
back_wheel_right,2.77555756156289E-17,4.16333634234434E-17,0.0426611529567505,0,0,0,0.65704188155931,0.00220253962614408,-3.25260651745651E-19,-2.95974706149586E-19,0.00220253962614408,-2.28275685637239E-20,0.00375659739665089,0,0,0,0,0,0,package://project2/meshes/back_wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/back_wheel_right.STL,,Part6-3,Origin_back_wheel_joint_right2,Axis_back_wheel_joint_right2,back_wheel_joint_right,continuous,-0.20766,-0.10814,-0.039948,1.5708,-0.60421,0,robot_base,0,0,1,,,,,,,,,,,,
link1,-2.25514051876985E-17,0.03600782607744,-3.46944695195361E-18,0,0,0,0.589945280222916,0.00105677270741217,2.89426230364179E-19,2.71050543121376E-20,0.000851877314188274,1.38722560223904E-19,0.00107780891255203,0,0,0,0,0,0,package://project2/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/link1.STL,,Link 1-1,Origin_link1_joint2,Axis_link1_joint2,link1_joint,revolute,-0.0044587,0.01886,0,1.5708,0,0.023044,robot_base,0,1,0,0,0,0,0,,,,,,,,
link2,-4.16333634234434E-17,0.0928294353929606,-1.83880688453542E-16,0,0,0,0.350491004551609,0.00291260560811244,9.70976449468327E-19,8.36445035413622E-21,0.000383234871793968,1.18584612615602E-19,0.00269534620476411,0,0,0,0,0,0,package://project2/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/link2.STL,,Link i-1,Origin_link2_joint2,Axis_link2_joint2,link2_joint,revolute,0,0.074352,0,0,0,1.5988,link1,0,0,1,0,0,0,0,,,,,,,,
link3,-2.77555756156289E-17,0.0699792691095642,-1.70002900645727E-16,0,0,0,0.422892808736732,0.00324007797113907,1.8766411993113E-19,-5.0821976835258E-20,0.000359224069633167,-5.6327690992411E-20,0.00318609153230274,0,0,0,0,0,0,package://project2/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/link3.STL,,Part3-1,Origin_link3_joint2,Axis_link3_joint2,link3_joint,revolute,0,0.2032,0,0,0,-2.7698,link2,0,0,1,0,0,0,0,,,,,,,,
end_effector,1.38777878078145E-17,0.0247268481304791,-1.28022592527088E-15,0,0,0,0.12847712258504,9.9693448180975E-05,-7.48763890483001E-21,2.32934060494933E-21,6.689234340781E-05,-1.75759336555267E-20,0.00010412627843435,0,0,0,0,0,0,package://project2/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/end_effector.STL,,Project 2 End effector link-1,Origin_end_effector_joint2,Axis_end_effector_joint2,end_effector_joint,revolute,0,0.2032,0,0,0,2.1266,link3,0,0,1,0,0,0,0,,,,,,,,
pick_and_place_base,3.0001167517224E-06,-0.00325946155890486,-5.62586325303371E-07,0,0,0,0.0680935878476142,2.72981957338164E-05,-3.25986432301156E-09,-3.12703011228737E-09,4.20006833769534E-05,6.11699189455091E-10,2.75426122566326E-05,0,0,0,0,0,0,package://project2/meshes/pick_and_place_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/pick_and_place_base.STL,,End Effector-1/End effctor final-1,Origin_pick_and_place_base_joint2,,pick_and_place_base_joint,fixed,0,0.0635,0,-3.1416,-0.051896,3.1416,end_effector,0,0,0,,,,,,,,,,,,
pick_and_place_1,-5.55111512312578E-17,0.0254,0.00635120298274981,0,0,0,0.00699277188922917,3.44048849627947E-06,6.82424005356248E-23,-2.77932685817817E-22,3.62897016488178E-07,5.69100261436483E-22,3.23554230251274E-06,0,0,0,0,0,0,package://project2/meshes/pick_and_place_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/pick_and_place_1.STL,,End Effector-1/End effector link 1-1,Origin_pick_and_place_joint12,,pick_and_place_joint1,revolute,0.020897,0.0127,0.0079144,0.7768,-0.013419,-1.5571,pick_and_place_base,0,0,0,0,0,0,0,,,,,,,,
sub1,2.77555756156289E-17,0.0325432063212394,0.00609600000000005,0,0,0,0.00843640254616532,2.50311136362693E-06,-9.93443915676186E-22,0,2.07102631014701E-07,1.40537986072759E-21,2.50120934312097E-06,0,0,0,0,0,0,package://project2/meshes/sub1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://project2/meshes/sub1.STL,,End Effector-1/End effector link 2-1,Origin_sub_joint12,,sub_joint1,fixed,0,0.0508,0.000254,0,0,1.4669,pick_and_place_1,0,0,0,,,,,,,,,,,,
